Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 2.013490	Val Loss: 2.060318	Val Acc: 40.0
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 2.057600	Val Loss: 2.075092	Val Acc: 38.099998474121094
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 2.016852	Val Loss: 2.056058	Val Acc: 40.0
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 2.022894	Val Loss: 2.063594	Val Acc: 39.70000076293945
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 2.045367	Val Loss: 2.060513	Val Acc: 39.79999923706055
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 2.073510	Val Loss: 2.055108	Val Acc: 40.400001525878906
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 2.045277	Val Loss: 2.064794	Val Acc: 38.900001525878906
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 2.045843	Val Loss: 2.065362	Val Acc: 38.70000076293945
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 2.065261	Val Loss: 2.059942	Val Acc: 39.099998474121094
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 2.039844	Val Loss: 2.076726	Val Acc: 37.70000076293945
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 2.036111	Val Loss: 2.063755	Val Acc: 39.20000076293945
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 2.020494	Val Loss: 2.065306	Val Acc: 39.0
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 2.045080	Val Loss: 2.065219	Val Acc: 38.70000076293945
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 2.022673	Val Loss: 2.061135	Val Acc: 39.5
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 2.025609	Val Loss: 2.067203	Val Acc: 38.79999923706055
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 2.063832	Val Loss: 2.071871	Val Acc: 38.400001525878906
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 2.088962	Val Loss: 2.048887	Val Acc: 41.099998474121094
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 2.053493	Val Loss: 2.050973	Val Acc: 40.099998474121094
